127.0.0.1, 2016-10-06 14:36:42, GET, /admin/static/_2.14.6/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-10-06 14:36:42, GET, /admin/static/_2.14.6/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-10-06 14:36:42, GET, /admin/static/_2.14.6/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-10-06 14:36:42, GET, /admin/static/_2.14.6/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-10-06 14:36:42, GET, /admin/static/_2.14.6/codemirror/emmet.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-10-06 14:36:42, GET, /admin/static/_2.14.6/js/ajax_editor.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-10-06 14:36:42, GET, /admin/static/_2.14.6/js/typeahead.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-10-06 14:36:42, GET, /admin/static/_2.14.6/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-10-06 14:36:42, GET, /admin/static/_2.14.6/images/files_toggle.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-10-06 14:36:42, GET, /admin/static/_2.14.6/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-10-06 14:36:42, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-10-06 14:36:42, GET, /admin/default/edit/Admin_Panel/controllers/default.py, HTTP/1.1, 200, 0.061000
127.0.0.1, 2016-10-06 14:36:42, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.133000
127.0.0.1, 2016-10-06 14:36:42, GET, /admin/static/_2.14.6/images/save_icon.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-10-06 14:36:42, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.169000
127.0.0.1, 2016-10-06 14:36:42, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.207000
127.0.0.1, 2016-10-06 14:36:43, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.381000
127.0.0.1, 2016-10-06 14:36:43, GET, /Admin_Panel/appadmin/hooks, HTTP/1.1, 200, 0.495000
127.0.0.1, 2016-10-06 14:37:17, POST, /admin/default/edit/Admin_Panel/controllers/default.py, HTTP/1.1, 200, 0.052000
127.0.0.1, 2016-10-06 14:37:23, GET, /admin/default/index, HTTP/1.1, 303, 0.011000
127.0.0.1, 2016-10-06 14:37:23, GET, /admin/default/site, HTTP/1.1, 200, 0.053000
127.0.0.1, 2016-10-06 14:37:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-10-06 14:37:26, GET, /Admin_Panel/default/index, HTTP/1.1, 200, 0.465000
127.0.0.1, 2016-10-06 14:37:36, GET, /admin/default/site, HTTP/1.1, 200, 0.064000
127.0.0.1, 2016-10-06 14:37:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-10-06 14:37:38, GET, /admin/default/design/Admin_Panel, HTTP/1.1, 200, 0.105000
127.0.0.1, 2016-10-06 14:37:38, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-10-06 14:37:43, GET, /Admin_Panel/default/index, HTTP/1.1, 200, 0.419000
127.0.0.1, 2016-10-06 14:37:53, GET, /admin/default/edit/Admin_Panel/controllers/default.py, HTTP/1.1, 200, 0.047000
127.0.0.1, 2016-10-06 14:37:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-10-06 14:37:53, GET, /admin/default/edit/Admin_Panel/controllers/default.py, HTTP/1.1, 200, 0.080000
